 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-548.4203,18.97026,202.9634
-546.8742,20.39397,214.2197
-545.8522,21.33556,225.7685
-543.8801,23.15211,237.6388
-541.7703,25.09585,249.8113
-539.7324,26.9731,262.2759
-537.7347,28.81284,275.0261
-535.6337,30.85434,288.0863
-534.4502,33.15131,301.42
-531.597,32.62865,315.1163
-529.9694,29.3911,329.2011
-527.3568,26.61911,343.6889
-524.0444,24.56715,358.5883
-520.4435,23.03345,373.8909
-515.9425,22.89212,389.5678
-511.1713,22.51788,405.644
-506.4457,21.43776,422.1248
-501.6867,19.94783,439.0194
-497.1552,18.41685,456.3179
-493.0723,16.8916,473.9766
-488.8111,15.28764,492.0143
-484.6246,13.57303,510.429
-480.4985,11.83853,529.2177
-476.2466,10.04384,548.39
-472.1697,8.323001,567.9326
-467.9855,6.556871,587.8506
-463.6943,4.745645,608.1591
-459.5484,2.995687,628.8431
-455.2315,1.17361,649.9149
-450.9543,-0.631797,671.3755
-446.4434,-2.5359,693.2443
-443.5135,-3.772628,715.4968
-443.5132,-3.772721,738.043
-443.5132,-3.772721,760.89
-443.5132,-3.772721,784.0394
-443.5132,-3.772721,807.4846
-443.5132,-3.772721,831.2337
-443.5132,-3.772721,855.3122
-443.5132,-3.772721,879.6938
-443.5132,-3.772721,904.3541
-443.5132,-3.772721,929.3094
-443.5132,-3.772721,954.5629
-443.5132,-3.772721,980.0937
-443.5132,-3.772721,1005.91
-443.5132,-3.772721,1032.035
-443.5132,-3.772721,1058.501
-443.5132,-3.772721,1085.307
-443.5132,-3.772721,1112.448
-443.5132,-3.772721,1139.901
-443.5132,-3.772721,1167.641
-443.5132,-3.772721,1195.68
-443.5132,-3.772721,1224.016
-443.5132,-3.772721,1252.661
-443.5132,-3.772721,1281.607
-443.5132,-3.772721,1310.965
-443.5132,-3.772721,1340.6
-443.5132,-3.772721,1370.521
-443.5132,-3.772721,1400.736
-443.5132,-3.772721,1431.294
-443.5132,-3.772721,1462.143
-443.5132,-3.772721,1493.292
-443.5132,-3.772721,1525.063
-443.5132,-3.772721,1557.183
-443.5132,-3.772721,1589.607
-443.5132,-3.772721,1622.324
-443.5132,-3.772721,1655.396
-443.5132,-3.772721,1688.809
-443.5132,-3.772721,1722.535
-443.5132,-3.772721,1756.586
-443.5132,-3.772721,1790.983
-443.5132,-3.772721,1825.678
-443.5132,-3.772721,1860.688
-443.5132,-3.772721,1896.027
-443.5132,-3.772721,1931.702
-443.5132,-3.772721,1967.722
-443.5132,-3.772721,2004.108
-443.5132,-3.772721,2040.803
-443.5132,-3.772721,2077.823
-443.5132,-3.772721,2115.219
-443.5132,-3.772721,2153
-443.5132,-3.772721,2191.099
-443.5132,-3.772721,2229.513
-443.5132,-3.772721,2268.212
-443.5132,-3.772721,2307.225
-443.5132,-3.772721,2346.55
-443.5132,-3.772721,2386.222
-443.5132,-3.772721,2426.25
-443.5132,-3.772721,2466.657
-443.5132,-3.772721,2507.361
-443.5132,-3.772721,2548.399
-443.5132,-3.772721,2589.769
-443.5132,-3.772721,2631.487
-443.5132,-3.772721,2673.524
-443.5132,-3.772721,2715.866
-443.5132,-3.772721,2758.494
-443.5132,-3.772721,2801.507
-443.5132,-3.772721,2844.838
-443.5132,-3.772721,2888.489
-443.5132,-3.772721,2932.447
-443.5132,-3.772721,2976.754
-443.0992,-3.321263,3021.38
-441.5284,-5.136799,3066.369
-437.0199,-6.454914,3111.766
-432.3793,-5.690002,3157.562
-428.442,-3.300697,3203.744
-424.7088,-0.8197941,3250.297
-420.8506,1.939042,3297.246
-417.1222,4.469403,3344.57
-413.5323,6.873879,3392.256
-409.8207,9.372395,3440.313
-406.2804,11.84321,3488.731
-402.6991,14.34302,3537.512
-399.0919,16.8609,3586.659
-395.6125,19.29425,3636.161
-392.0562,21.78579,3686.024
-388.3927,24.35251,3736.26
-386.0483,26.77764,3786.873
-386.0483,26.78178,3837.882
-386.0483,26.78178,3889.266
-386.0483,26.78178,3941.018
-386.7438,25.14451,3993.066
-387.8909,22.66518,4045.366
-388.8966,19.76486,4097.983
-385.9124,16.78067,4150.992
-382.6059,17.39754,4204.38
-381.9153,20.88597,4258.066
-380.8968,23.63666,4312.043
-380.639,24.16697,4366.282
-380.6392,24.16665,4420.761
-380.7809,23.87855,4475.47
-381.3832,22.58987,4530.413
-381.9614,21.3514,4585.602
-381.5015,22.33835,4641.082
-380.9861,23.44351,4696.854
-379.8707,25.83166,4752.915
-378.7919,28.21915,4809.27
-378.575,30.89688,4865.935
-381.0521,31.63872,4922.869
-382.6267,32.15549,4980.038
-384.6937,31.15255,5037.467
-385.6765,28.35362,5095.144
-386.7413,26.13815,5153.112
-386.7704,26.11709,5211.453
-386.7704,26.11709,5270.106
-386.7704,26.11709,5329.063
-386.7704,26.11709,5388.315
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,0.6952682
-566.4,-0.07,1.711113
-566.4,-0.07,3.038582
-566.4,-0.07,4.683066
-566.4,-0.07,6.650832
-566.4,-0.07,8.939617
-566.4,-0.07,11.54058
-566.4,-0.07,14.45045
-566.4,-0.07,17.66638
-566.4,-0.07,21.19937
-566.4,-0.07,25.02719
-566.4,-0.07,29.14436
-566.4,-0.07,33.74128
-566.4,-0.07,38.65002
-566.4,-0.07,43.85601
-566.4,-0.07,49.36819
-566.4,-0.07,55.17256
-566.4,-0.07,61.26577
-566.4,-0.07,67.75677
-566.4,-0.07,74.71398
-566.4,-0.07,82.11393
-566.4,-0.07,89.89932
-566.4,-0.07,98.05346
-566.4,-0.07,106.61
-566.4,-0.07,115.5331
-566.4,-0.07,124.8238
-566.4,-0.07,134.4863
-566.4,-0.07,144.4768
-566.4,-0.07,154.8008
-566.4,-0.07,165.4774
